.812125,10,100,"no remark ",11,1,"no remark ",11,1,"no remark ",13,1,"no remark ",10
.921125,10,100,"no remark ",11,1,"no remark ",11,1,"no remark ",12,1,"no remark ",10
.921125,10,100,"no remark ",11,1,"no remark ",11,1,"no remark ",12,1,"no remark ",10
.921125,10,100,"no remark ",10,1,"no remark ",11,1,"no remark ",12,1,"no remark ",10
.921125,10,100,"no remark ",10,1,"no remark ",11,1,"no remark ",12,1,"no remark ",10
.921125,10,100,"no remark ",10,1,"no remark ",11,1,"no remark ",12,1,"no remark ",10
.921125,10,100,"no remark ",10,1,"no remark ",11,1,"no remark ",12,1,"no remark ",10
.921125,10,100,"no remark ",10,1,"no remark ",11,1,"no remark ",12,1,"no remark ",10
.921125,10,100,"no remark ",10,1,"no remark ",11,1,"no remark ",12,1,"no remark ",10
.921125,10,100,"no remark ",10,1,"no remark ",11,1,"no remark ",11,1,"no remark ",10
.921125,10,100,"no remark ",10,1,"no remark ",11,1,"no remark ",11,1,"no remark ",10
1.031125,10,100,"no remark ",10,1,"no remark ",11,1,"no remark ",11,1,"no remark ",10
1.031125,10,100,"no remark ",10,1,"no remark ",11,1,"no remark ",11,1,"no remark ",10
1.031125,10,100,"no remark ",10,1,"no remark ",11,1,"no remark ",11,1,"no remark ",10
1.031125,10,100,"no remark ",10,1,"no remark ",11,1,"no remark ",11,1,"no remark ",10
1.031125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",11,1,"no remark ",10
1.031125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",11,1,"no remark ",10
1.031125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",11,1,"no remark ",10
1.031125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",11,1,"no remark ",10
1.031125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",11,1,"no remark ",10
1.031125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",11,1,"no remark ",10
1.140125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",11,1,"no remark ",10
1.140125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",11,1,"no remark ",10
1.140125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",11,1,"no remark ",10
1.140125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",11,1,"no remark ",10
1.140125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",11,1,"no remark ",10
1.140125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",11,1,"no remark ",10
1.140125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.140125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.140125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.140125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.249125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.249125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.249125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.249125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.249125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.249125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.249125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.249125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.249125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.249125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.359125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.359125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.359125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.359125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.359125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.359125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.359125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.359125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.359125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.359125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.468125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.468125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.468125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
1.468125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
